,age,job,marital,education,default,balance,housing,loan,day_of_week,month,duration,campaign,pdays,previous,subscribed
16658,52,blue-collar,married,primary,no,117,no,yes,24,jul,164,2,-1,0,no
15679,38,admin.,divorced,secondary,no,0,yes,no,21,jul,93,1,-1,0,no
24854,46,admin.,divorced,secondary,no,7378,no,no,18,nov,466,1,-1,0,no
5095,33,blue-collar,single,primary,no,1390,yes,no,21,may,192,1,-1,0,no
19766,60,management,married,tertiary,no,73,no,no,8,aug,243,2,-1,0,yes
24832,39,self-employed,married,primary,no,2165,yes,no,18,nov,213,1,-1,0,no
4085,33,admin.,married,secondary,no,0,no,no,19,may,326,2,-1,0,no
15977,44,technician,married,secondary,no,196,no,no,22,jul,367,1,-1,0,no
2677,42,services,married,secondary,no,693,yes,no,13,may,187,2,-1,0,no
16604,49,entrepreneur,divorced,secondary,no,10350,no,yes,24,jul,346,1,-1,0,no
38876,26,management,single,tertiary,yes,-130,yes,no,18,may,216,1,-1,0,no
11652,36,student,married,tertiary,no,408,no,no,20,jun,112,3,-1,0,no
12495,27,technician,single,secondary,no,158,no,no,1,jul,650,2,-1,0,yes
30448,38,technician,divorced,tertiary,no,915,yes,no,5,feb,22,7,266,4,no
13963,37,admin.,divorced,secondary,no,859,yes,yes,10,jul,154,4,-1,0,no
38854,41,blue-collar,married,primary,no,-75,yes,no,18,may,115,1,-1,0,no
44135,20,student,single,primary,no,134,no,no,12,jul,273,1,277,3,no
36868,49,blue-collar,married,secondary,no,5058,no,no,12,may,255,2,357,4,no
33412,34,management,divorced,tertiary,no,471,no,no,20,apr,247,1,332,4,no
20910,40,management,divorced,tertiary,no,823,no,no,13,aug,159,4,-1,0,no
282,54,technician,married,tertiary,no,258,no,no,5,may,310,4,-1,0,no
2750,46,retired,married,primary,no,1374,no,yes,14,may,22,3,-1,0,no
43681,31,technician,single,secondary,no,1282,no,no,12,may,144,1,460,2,no
27669,31,management,married,tertiary,no,1402,no,no,21,nov,104,2,-1,0,no
15320,33,services,single,secondary,no,3269,no,yes,18,jul,316,1,-1,0,no
13641,53,management,married,primary,no,-139,no,no,9,jul,328,3,-1,0,no
25664,48,services,single,secondary,no,2749,no,no,19,nov,442,1,-1,0,no
15597,25,services,single,secondary,no,2311,no,yes,21,jul,1105,2,-1,0,yes
42733,68,retired,single,tertiary,no,2144,no,no,26,jan,708,1,96,3,yes
12605,25,management,single,tertiary,no,115,no,yes,4,jul,60,1,-1,0,no
3222,48,services,divorced,secondary,no,0,yes,yes,15,may,263,1,-1,0,no
20949,31,management,married,tertiary,no,512,yes,no,14,aug,96,3,-1,0,no
25668,31,technician,single,tertiary,no,849,no,no,19,nov,94,1,-1,0,no
28357,39,services,single,secondary,no,1281,yes,yes,29,jan,177,1,-1,0,no
18510,50,services,married,secondary,yes,0,no,no,31,jul,35,9,-1,0,no
17310,31,technician,married,secondary,no,17,yes,no,28,jul,266,3,-1,0,no
8891,25,blue-collar,married,secondary,no,-507,yes,yes,4,jun,404,2,-1,0,no
451,40,services,married,secondary,no,71,no,no,6,may,79,1,-1,0,no
1080,37,self-employed,married,primary,no,0,no,no,7,may,112,4,-1,0,no
17714,47,management,married,tertiary,no,24312,yes,no,29,jul,187,3,-1,0,no
10759,30,self-employed,married,secondary,no,421,yes,yes,17,jun,62,4,-1,0,no
6270,37,admin.,married,secondary,no,274,yes,no,27,may,731,3,-1,0,yes
21255,43,management,divorced,tertiary,no,1413,yes,no,18,aug,116,9,-1,0,no
38423,26,student,single,secondary,no,2138,yes,no,15,may,18,8,371,1,no
23971,52,technician,divorced,secondary,no,0,no,no,29,aug,39,2,-1,0,no
17198,33,entrepreneur,married,tertiary,no,114,no,yes,28,jul,57,3,-1,0,no
36130,45,management,divorced,tertiary,no,839,yes,no,11,may,340,1,264,4,no
26573,51,technician,divorced,secondary,no,7928,yes,no,20,nov,124,1,-1,0,no
17530,44,technician,married,tertiary,no,964,no,no,29,jul,158,2,-1,0,no
2010,33,blue-collar,single,primary,no,447,yes,no,9,may,180,2,-1,0,no
6911,28,services,single,secondary,no,3331,yes,no,28,may,229,2,-1,0,no
4745,38,unemployed,married,secondary,no,565,yes,no,20,may,153,2,-1,0,no
32700,38,management,married,tertiary,no,5432,yes,yes,17,apr,707,1,149,2,no
1206,40,technician,married,tertiary,no,103,yes,no,8,may,135,2,-1,0,no
40619,66,retired,married,primary,no,12767,no,no,4,aug,117,2,-1,0,no
833,42,management,married,tertiary,no,386,yes,no,7,may,168,1,-1,0,no
19875,58,retired,married,primary,no,-257,yes,yes,8,aug,163,2,-1,0,no
34131,34,management,married,tertiary,no,-308,yes,no,30,apr,140,2,-1,0,no
37226,31,management,married,tertiary,no,623,yes,no,13,may,96,2,349,5,no
11449,45,blue-collar,married,primary,no,351,yes,no,19,jun,66,1,-1,0,no
21353,42,management,divorced,tertiary,no,1064,no,no,18,aug,101,2,-1,0,no
36953,42,blue-collar,married,primary,no,159,yes,no,12,may,295,3,-1,0,no
24789,33,technician,married,secondary,no,256,yes,no,18,nov,76,1,-1,0,no
23416,49,management,married,tertiary,no,276,no,no,27,aug,62,5,-1,0,no
23557,44,technician,divorced,secondary,no,2179,no,no,28,aug,180,10,-1,0,no
23343,37,housemaid,married,primary,no,309,no,no,27,aug,11,15,-1,0,no
33911,29,management,single,tertiary,no,697,no,no,30,apr,365,1,85,1,yes
29243,32,blue-collar,single,secondary,no,2142,no,no,2,feb,406,1,-1,0,no
28000,30,management,single,tertiary,no,140,no,no,28,jan,186,1,-1,0,no
30635,44,blue-collar,married,secondary,no,837,yes,no,6,feb,218,1,-1,0,no
20746,58,retired,married,primary,no,4158,no,no,13,aug,455,2,-1,0,yes
2704,33,blue-collar,divorced,secondary,no,-238,yes,no,13,may,73,2,-1,0,no
30165,33,management,married,secondary,no,165,yes,no,5,feb,126,3,258,15,no
22288,47,self-employed,married,secondary,no,3279,no,no,21,aug,189,4,-1,0,no
16169,26,management,single,tertiary,no,97,yes,no,22,jul,233,1,-1,0,no
14931,39,management,married,tertiary,yes,-1586,yes,yes,16,jul,89,2,-1,0,no
2794,45,technician,married,secondary,no,0,yes,yes,14,may,246,2,-1,0,no
13695,36,admin.,divorced,primary,no,227,no,no,9,jul,185,1,-1,0,no
38329,29,blue-collar,single,primary,no,-24,yes,no,15,may,325,1,-1,0,no
22793,46,technician,married,secondary,no,518,no,no,25,aug,68,6,-1,0,no
43305,38,housemaid,single,secondary,no,465,yes,no,16,mar,180,1,302,3,yes
22236,37,management,married,tertiary,no,292,no,no,21,aug,133,2,-1,0,no
23855,36,self-employed,married,primary,no,0,no,no,29,aug,97,2,-1,0,no
32884,58,retired,married,primary,no,650,yes,yes,17,apr,114,3,-1,0,no
27791,57,services,divorced,primary,no,362,no,no,28,jan,91,1,231,1,no
42763,36,student,single,tertiary,no,129,no,no,28,jan,918,1,93,1,yes
38025,29,technician,single,secondary,no,-13,yes,no,14,may,512,3,-1,0,no
21042,33,management,single,tertiary,no,336,no,no,14,aug,220,2,-1,0,no
12328,49,technician,divorced,secondary,no,-53,yes,yes,26,jun,253,1,-1,0,no
8913,31,admin.,married,secondary,no,454,yes,no,4,jun,119,1,-1,0,no
9366,37,self-employed,single,tertiary,no,984,no,no,6,jun,334,1,-1,0,no
16803,35,blue-collar,married,primary,no,0,yes,no,24,jul,90,6,-1,0,no
289,40,self-employed,married,secondary,no,672,yes,no,5,may,164,2,-1,0,no
14046,37,blue-collar,single,secondary,no,1672,yes,no,11,jul,484,1,-1,0,no
6948,34,management,married,tertiary,no,-304,yes,no,28,may,279,2,-1,0,no
6760,53,services,divorced,secondary,no,-905,yes,no,28,may,213,1,-1,0,no
4716,34,management,single,tertiary,no,1040,yes,no,20,may,96,2,-1,0,no
31972,30,blue-collar,single,primary,no,464,yes,no,13,apr,686,1,-1,0,no
40083,41,management,divorced,tertiary,no,3426,no,no,4,jun,102,2,297,3,yes
6013,49,blue-collar,married,primary,no,365,no,no,26,may,59,2,-1,0,no
29807,37,services,single,secondary,no,2,yes,no,4,feb,220,1,-1,0,no
3979,43,admin.,single,tertiary,no,329,yes,no,16,may,218,2,-1,0,no
43332,86,retired,married,secondary,no,1503,no,no,18,mar,165,3,101,1,no
36826,36,technician,single,secondary,no,75,yes,no,12,may,485,2,342,4,no
40152,30,technician,single,tertiary,no,0,yes,no,5,jun,159,2,-1,0,yes
10491,40,management,married,tertiary,no,60,no,no,16,jun,172,6,-1,0,no
35684,39,services,married,secondary,no,100,yes,no,8,may,132,1,-1,0,no
20773,58,blue-collar,married,secondary,no,3148,no,yes,13,aug,57,2,-1,0,no
10674,41,blue-collar,married,secondary,no,-100,yes,no,16,jun,20,21,-1,0,no
2171,26,blue-collar,single,secondary,yes,-23,yes,no,12,may,315,1,-1,0,no
39373,31,management,single,tertiary,no,12607,no,no,22,may,150,1,-1,0,no
7847,35,management,single,tertiary,no,687,yes,no,30,may,166,2,-1,0,no
12352,55,entrepreneur,married,tertiary,no,625,no,no,26,jun,48,4,-1,0,no
32812,49,services,married,secondary,no,29,yes,no,17,apr,79,1,-1,0,no
11606,25,blue-collar,married,secondary,no,1782,yes,no,19,jun,549,1,-1,0,no
18326,50,technician,married,secondary,no,1518,no,yes,31,jul,321,2,-1,0,no
10991,37,self-employed,single,tertiary,no,556,no,no,17,jun,200,2,-1,0,no
21854,42,management,single,secondary,no,164,no,no,20,aug,500,2,-1,0,no
8846,36,technician,married,tertiary,no,606,yes,no,4,jun,159,1,-1,0,no
30763,33,blue-collar,single,tertiary,no,350,yes,no,6,feb,148,7,227,5,no
7228,39,blue-collar,married,primary,no,-388,yes,no,29,may,691,1,-1,0,no
11195,60,housemaid,married,primary,no,0,no,no,18,jun,138,1,-1,0,no
2024,55,services,married,secondary,no,560,yes,no,9,may,91,3,-1,0,no
36716,42,technician,married,tertiary,no,246,yes,no,12,may,360,2,-1,0,no
18577,36,management,married,tertiary,no,2547,no,no,31,jul,292,1,-1,0,no
7187,33,technician,single,tertiary,no,538,yes,no,29,may,359,2,-1,0,no
5283,30,blue-collar,married,secondary,no,278,yes,yes,23,may,1073,1,-1,0,yes
30780,38,blue-collar,married,primary,no,558,yes,no,6,feb,427,3,-1,0,no
14475,37,services,married,secondary,no,0,yes,no,14,jul,330,4,-1,0,no
26022,53,management,married,tertiary,no,1014,no,yes,19,nov,59,2,-1,0,no
6175,27,admin.,single,secondary,no,0,yes,no,27,may,265,1,-1,0,no
19295,58,technician,married,secondary,no,1191,no,no,6,aug,78,2,-1,0,no
31148,37,technician,single,secondary,no,1130,no,no,26,feb,152,1,-1,0,yes
36341,30,admin.,married,secondary,no,692,yes,no,11,may,290,1,-1,0,no
29740,54,management,married,tertiary,no,195,no,yes,4,feb,47,1,265,6,no
19385,52,blue-collar,married,primary,no,10,no,no,6,aug,588,3,-1,0,no
14473,36,management,single,primary,no,51,no,no,14,jul,179,3,-1,0,no
25511,40,management,married,tertiary,no,2168,yes,yes,19,nov,530,1,-1,0,no
34436,28,services,married,secondary,no,0,yes,no,5,may,334,1,355,6,no
18128,42,services,divorced,secondary,no,732,no,no,30,jul,109,3,-1,0,no
3254,46,admin.,married,secondary,no,1934,no,yes,15,may,240,1,-1,0,no
29194,40,services,divorced,secondary,no,687,yes,no,2,feb,531,1,208,1,yes
19701,45,services,married,secondary,no,1181,yes,no,7,aug,141,3,-1,0,no
26866,46,blue-collar,married,primary,no,676,yes,no,20,nov,825,6,174,4,no
35412,45,admin.,single,secondary,no,-101,yes,no,7,may,101,1,301,1,no
39134,39,blue-collar,married,secondary,no,161,yes,no,18,may,98,2,-1,0,no
25022,37,blue-collar,single,secondary,no,690,yes,no,18,nov,105,1,179,2,no
17097,27,technician,single,secondary,no,15,yes,no,25,jul,67,3,-1,0,no
35627,44,technician,married,secondary,no,135,yes,no,8,may,262,3,-1,0,no
27759,57,technician,married,secondary,no,589,yes,no,28,jan,198,1,244,1,no
2367,33,management,single,tertiary,no,168,yes,no,13,may,155,1,-1,0,no
13585,52,management,married,tertiary,no,-1112,yes,no,9,jul,94,1,-1,0,no
34874,38,management,single,tertiary,no,171,yes,yes,6,may,60,1,272,3,no
10963,41,services,married,secondary,no,1483,yes,no,17,jun,66,4,-1,0,no
42387,32,entrepreneur,married,secondary,no,390,no,no,30,nov,152,1,-1,0,no
38188,29,blue-collar,married,secondary,no,368,yes,no,15,may,345,1,310,7,no
42374,77,retired,married,primary,no,680,no,no,27,nov,341,4,94,3,no
13546,39,blue-collar,married,secondary,no,750,yes,yes,9,jul,175,1,-1,0,no
8376,31,technician,single,tertiary,no,1166,yes,no,3,jun,207,1,-1,0,no
15778,57,retired,married,primary,no,4,no,no,21,jul,50,5,-1,0,no
3210,60,retired,married,secondary,no,2537,yes,yes,15,may,230,1,-1,0,no
21446,45,technician,married,tertiary,no,121,no,no,18,aug,835,4,-1,0,no
9831,36,services,married,primary,no,179,no,no,9,jun,411,1,-1,0,no
23939,45,blue-collar,married,primary,no,85,no,no,29,aug,133,4,-1,0,no
29241,38,admin.,divorced,secondary,no,485,yes,no,2,feb,252,1,-1,0,no
12286,59,technician,married,tertiary,no,-91,no,no,25,jun,157,1,-1,0,no
22769,35,technician,divorced,secondary,no,0,no,no,25,aug,124,4,-1,0,no
9404,30,management,single,tertiary,no,329,yes,no,6,jun,122,16,-1,0,no
4613,33,blue-collar,married,secondary,no,0,yes,yes,20,may,114,1,-1,0,no
13736,33,services,single,secondary,no,-56,no,yes,10,jul,119,5,-1,0,no
17454,33,management,married,tertiary,no,1206,yes,no,28,jul,72,6,-1,0,no
10470,36,technician,single,secondary,no,1521,yes,no,16,jun,243,2,-1,0,no
11624,44,technician,single,primary,no,148,no,no,19,jun,311,2,-1,0,no
6961,30,blue-collar,married,primary,no,2607,yes,no,28,may,158,10,-1,0,no
5746,57,technician,married,secondary,no,3284,yes,no,26,may,63,1,-1,0,no
32893,29,services,single,secondary,no,441,yes,no,17,apr,69,1,-1,0,no
16356,28,technician,single,tertiary,no,-123,no,yes,23,jul,690,1,-1,0,yes
16559,40,management,married,tertiary,no,0,yes,yes,24,jul,53,1,-1,0,no
12657,27,management,single,secondary,no,35,no,no,4,jul,255,1,-1,0,no
41191,33,management,single,tertiary,no,8514,no,no,20,aug,131,1,-1,0,no
40108,40,admin.,single,secondary,no,985,yes,no,4,jun,592,3,50,8,yes
39568,45,unemployed,married,secondary,no,1040,no,no,26,may,137,5,-1,0,no
35843,50,management,single,tertiary,no,709,yes,no,8,may,207,1,-1,0,no
31842,36,management,single,tertiary,no,223,yes,no,8,apr,281,3,-1,0,no
23480,43,management,married,tertiary,no,228,no,no,28,aug,47,18,-1,0,no
43678,31,blue-collar,married,secondary,no,136,no,no,12,may,228,2,267,1,yes
36195,55,blue-collar,married,secondary,no,2059,yes,no,11,may,149,1,259,4,no
15776,50,blue-collar,divorced,primary,no,-19,yes,no,21,jul,407,11,-1,0,no
32231,34,technician,married,tertiary,no,352,yes,no,16,apr,288,3,324,1,no
19607,45,blue-collar,married,secondary,no,9680,no,no,7,aug,89,4,-1,0,no
5606,58,retired,married,secondary,no,-205,yes,no,23,may,253,2,-1,0,no
38334,23,blue-collar,married,secondary,no,-295,yes,no,15,may,411,1,323,2,no
17581,45,blue-collar,married,primary,no,193,yes,yes,29,jul,116,2,-1,0,no
2455,46,blue-collar,married,secondary,no,2485,yes,no,13,may,174,4,-1,0,no
23839,49,management,married,tertiary,no,0,no,no,29,aug,102,2,-1,0,no
41826,31,technician,married,tertiary,no,442,no,no,15,oct,244,1,-1,0,no
26556,31,blue-collar,married,secondary,no,2591,yes,no,20,nov,55,1,-1,0,no
23938,54,technician,married,secondary,no,1670,no,no,29,aug,207,7,-1,0,no
21096,31,management,married,tertiary,no,2344,yes,no,14,aug,221,6,-1,0,no
22461,32,management,married,tertiary,no,282,no,no,22,aug,92,2,-1,0,no
31813,50,technician,single,secondary,no,-97,yes,no,8,apr,425,1,306,2,no
29081,38,technician,married,secondary,no,10,no,no,2,feb,86,1,161,5,no
21470,31,housemaid,married,primary,no,979,no,yes,18,aug,298,10,-1,0,no
20565,38,technician,married,tertiary,no,940,no,no,12,aug,191,7,-1,0,no
9612,40,retired,married,secondary,no,263,no,no,6,jun,761,3,-1,0,no
35100,29,blue-collar,married,secondary,no,100,yes,yes,6,may,152,4,344,2,no
2665,42,blue-collar,divorced,secondary,no,-135,yes,no,13,may,15,11,-1,0,no
9017,53,management,married,tertiary,no,1619,no,no,5,jun,89,1,-1,0,no
10349,36,student,single,secondary,no,409,yes,no,12,jun,72,1,-1,0,no
36997,48,blue-collar,married,primary,no,3267,yes,no,13,may,6,5,-1,0,no
19111,50,admin.,married,secondary,no,350,no,no,5,aug,66,2,-1,0,no
21138,38,technician,married,secondary,no,167,no,no,14,aug,145,2,-1,0,no
15165,34,management,married,tertiary,no,1784,yes,no,17,jul,43,2,-1,0,no
9161,26,technician,married,secondary,no,-293,yes,yes,5,jun,64,2,-1,0,no
29937,38,admin.,single,secondary,no,-213,yes,yes,4,feb,519,1,-1,0,no
41968,39,management,single,tertiary,no,416,no,no,23,oct,56,4,-1,0,no
23475,32,management,married,tertiary,no,2213,no,no,28,aug,73,7,-1,0,no
11786,43,entrepreneur,married,secondary,no,0,yes,no,20,jun,113,1,-1,0,no
39038,27,management,single,tertiary,no,2802,yes,no,18,may,84,1,-1,0,no
31311,25,management,married,tertiary,no,4461,no,no,11,mar,796,5,-1,0,yes
27235,34,technician,married,secondary,no,5553,yes,no,21,nov,798,2,182,5,no
708,47,technician,married,secondary,no,503,yes,no,6,may,109,2,-1,0,no
20371,39,technician,married,secondary,no,3663,no,no,11,aug,230,3,-1,0,no
30841,33,technician,single,secondary,no,0,yes,yes,9,feb,47,2,12,4,no
30739,38,management,married,tertiary,no,569,yes,no,6,feb,105,2,252,1,no
11943,57,technician,divorced,secondary,no,1168,no,no,20,jun,74,5,-1,0,no
27417,57,unemployed,married,primary,no,3367,no,no,21,nov,126,1,-1,0,no
4070,38,services,married,secondary,no,497,yes,yes,19,may,88,5,-1,0,no
32481,35,services,married,secondary,no,44,yes,no,17,apr,377,2,-1,0,no
32129,57,blue-collar,married,primary,no,12048,yes,no,15,apr,103,2,-1,0,no
27792,52,services,married,secondary,no,393,yes,yes,28,jan,446,1,182,8,no
16492,51,technician,married,secondary,no,0,no,yes,23,jul,68,3,-1,0,no
10642,38,services,divorced,secondary,no,439,no,no,16,jun,50,1,-1,0,no
6639,26,blue-collar,single,secondary,no,535,yes,yes,28,may,252,1,-1,0,no
44849,70,retired,married,primary,no,3782,no,no,22,sep,704,2,190,1,no
41916,53,management,divorced,tertiary,no,3370,no,no,21,oct,180,1,334,3,no
44561,35,management,divorced,tertiary,no,2885,no,no,13,aug,199,3,43,8,yes
6487,24,admin.,single,secondary,no,795,yes,no,27,may,209,2,-1,0,no
24770,34,blue-collar,married,secondary,no,2305,yes,no,18,nov,301,1,-1,0,no
26073,39,housemaid,married,secondary,no,4136,yes,no,19,nov,194,2,170,3,no
42708,42,admin.,married,secondary,no,383,no,no,25,jan,146,1,-1,0,no
25567,36,admin.,single,tertiary,no,649,no,no,19,nov,224,1,111,1,no
35639,33,blue-collar,married,primary,no,245,yes,yes,8,may,253,3,-1,0,no
1432,38,blue-collar,single,primary,no,162,yes,no,8,may,200,2,-1,0,no
4922,31,blue-collar,married,secondary,no,932,yes,no,21,may,229,2,-1,0,no
40807,70,housemaid,divorced,primary,no,1311,no,no,11,aug,651,1,-1,0,yes
37750,55,retired,married,primary,no,-966,no,yes,14,may,104,1,-1,0,no
7945,54,blue-collar,married,secondary,no,3782,yes,no,30,may,211,4,-1,0,no
19941,50,management,married,secondary,no,3002,no,no,8,aug,125,2,-1,0,no
27957,38,management,married,tertiary,no,223,no,no,28,jan,63,1,-1,0,no
20929,32,admin.,single,tertiary,no,497,yes,no,13,aug,132,4,-1,0,no
4701,35,management,single,secondary,yes,-202,yes,no,20,may,268,3,-1,0,no
40135,26,services,single,secondary,no,2158,yes,yes,5,jun,227,1,-1,0,no
36176,41,unemployed,single,secondary,no,169,yes,no,11,may,712,1,-1,0,no
1149,38,blue-collar,married,secondary,no,164,yes,no,7,may,309,2,-1,0,no
31030,31,management,married,tertiary,no,3,yes,yes,11,feb,331,1,-1,0,yes
277,49,services,married,secondary,no,47,no,no,5,may,234,2,-1,0,no
11247,60,retired,married,tertiary,no,1336,no,no,18,jun,324,1,-1,0,no
9422,35,blue-collar,married,secondary,no,3595,no,no,6,jun,30,1,-1,0,no
8068,35,blue-collar,married,secondary,no,80,yes,yes,2,jun,579,2,-1,0,no
15063,33,blue-collar,married,secondary,no,-260,yes,yes,17,jul,224,2,-1,0,no
905,35,management,married,tertiary,no,267,yes,no,7,may,192,1,-1,0,no
2541,31,admin.,single,secondary,no,150,yes,yes,13,may,431,2,-1,0,no
1367,28,self-employed,married,tertiary,no,120,yes,yes,8,may,130,3,-1,0,no
37702,40,admin.,single,primary,no,846,yes,no,14,may,204,1,-1,0,no
1288,26,student,single,secondary,no,85,yes,no,8,may,278,2,-1,0,no
800,29,technician,married,secondary,no,8,no,no,7,may,113,1,-1,0,no
8583,38,blue-collar,married,primary,no,0,yes,no,3,jun,179,2,-1,0,no
16436,26,technician,single,secondary,no,33,no,no,23,jul,91,7,-1,0,no
6968,22,blue-collar,single,primary,no,3198,yes,no,28,may,109,2,-1,0,no
16711,34,management,married,tertiary,no,889,yes,no,24,jul,539,1,-1,0,no
34736,30,management,married,tertiary,no,94,yes,no,6,may,87,1,-1,0,no
30716,46,technician,married,tertiary,no,-369,yes,yes,6,feb,339,4,-1,0,no
14561,26,blue-collar,married,secondary,no,155,no,yes,15,jul,76,3,-1,0,no
13673,36,blue-collar,married,primary,no,0,no,no,9,jul,39,1,-1,0,no
38611,48,blue-collar,married,primary,no,108,yes,no,15,may,74,5,367,7,no
21227,35,technician,married,secondary,no,-1041,yes,yes,18,aug,105,4,-1,0,no
19605,50,housemaid,married,primary,no,152,no,no,7,aug,107,4,-1,0,no
6170,26,technician,divorced,tertiary,no,3154,yes,yes,27,may,121,1,-1,0,no
36249,44,management,married,tertiary,no,0,yes,no,11,may,78,2,264,3,no
3563,36,management,married,tertiary,no,900,yes,no,15,may,475,2,-1,0,no
5341,34,housemaid,single,secondary,no,1408,yes,no,23,may,245,1,-1,0,no
14696,40,management,married,secondary,no,4025,yes,no,15,jul,107,4,-1,0,no
2504,59,retired,married,tertiary,no,-892,yes,no,13,may,129,1,-1,0,no
20442,31,management,single,tertiary,no,573,no,no,12,aug,138,2,-1,0,no
1847,29,technician,single,tertiary,no,433,yes,no,9,may,247,1,-1,0,no
6479,35,entrepreneur,married,tertiary,no,542,yes,yes,27,may,591,5,-1,0,no
36872,35,admin.,married,secondary,no,2321,yes,no,12,may,306,2,-1,0,no
19462,43,management,married,tertiary,no,11754,no,no,7,aug,352,2,-1,0,no
28982,45,admin.,married,secondary,no,1097,yes,yes,2,feb,174,1,208,1,no
41621,47,admin.,married,secondary,no,2601,no,no,24,sep,261,1,-1,0,yes
24889,51,management,married,primary,no,108,no,no,18,nov,169,2,-1,0,no
14584,56,unemployed,divorced,primary,no,109,no,no,15,jul,924,4,-1,0,no
16116,36,management,married,tertiary,no,348,no,yes,22,jul,307,1,-1,0,no
22877,45,services,married,secondary,no,222,no,no,25,aug,119,11,-1,0,no
5808,33,technician,married,secondary,no,95,yes,no,26,may,190,2,-1,0,no
32504,59,management,married,primary,no,2358,yes,no,17,apr,30,1,-1,0,no
44993,43,admin.,single,secondary,no,386,no,no,12,oct,242,1,92,4,no
7719,28,blue-collar,single,primary,no,-232,yes,no,30,may,557,2,-1,0,no
38354,43,blue-collar,married,secondary,no,10910,yes,no,15,may,66,2,-1,0,no
34014,32,technician,single,tertiary,no,4,yes,no,30,apr,311,1,-1,0,no
32952,57,housemaid,married,tertiary,no,2326,no,no,17,apr,378,1,-1,0,yes
38357,24,self-employed,single,tertiary,no,91,yes,no,15,may,134,2,-1,0,no
43677,54,management,married,tertiary,no,1624,no,no,12,may,166,3,182,10,yes
29890,26,student,single,secondary,no,334,no,no,4,feb,46,1,-1,0,no
27763,55,technician,divorced,secondary,yes,4,no,no,28,jan,1048,1,-1,0,yes
10943,37,entrepreneur,single,secondary,no,926,no,no,17,jun,93,2,-1,0,no
11107,37,blue-collar,single,secondary,no,415,no,no,18,jun,203,1,-1,0,no
40527,52,technician,married,tertiary,no,523,yes,yes,8,jul,113,1,-1,0,no
28218,27,admin.,single,tertiary,no,73,no,no,29,jan,242,1,-1,0,no
