,standardscaler__age,standardscaler__balance,standardscaler__duration,standardscaler__campaign,standardscaler__pdays,standardscaler__previous,ordinalencoder__education,onehotencoder-1__default_yes,onehotencoder-1__housing_yes,onehotencoder-1__loan_yes,onehotencoder-2__job_admin.,onehotencoder-2__job_blue-collar,onehotencoder-2__job_entrepreneur,onehotencoder-2__job_housemaid,onehotencoder-2__job_management,onehotencoder-2__job_retired,onehotencoder-2__job_self-employed,onehotencoder-2__job_services,onehotencoder-2__job_student,onehotencoder-2__job_technician,onehotencoder-2__job_unemployed,onehotencoder-2__marital_divorced,onehotencoder-2__marital_married,onehotencoder-2__marital_single
32,0.4293349520806794,-0.7541482321115072,-0.5446553382051025,-0.580204941102315,-0.4011920915396754,-0.30462382183138853,1,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
33,-0.7398177814049164,-0.3587711727541912,0.847977952527813,0.3801035821487107,-0.4011920915396754,-0.30462382183138853,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
34,1.2087701077377433,-0.514043772693367,-0.6169999247366825,0.06000074106503546,-0.4011920915396754,-0.30462382183138853,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35,-0.1552414146621185,-0.4757936931961554,0.012397978088063763,0.3801035821487107,-0.4011920915396754,-0.30462382183138853,2,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
36,1.8907758689376741,-0.4220163537050262,-0.052712149790358265,0.3801035821487107,-0.4011920915396754,-0.30462382183138853,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
37,0.3319055576235464,0.9008304550450741,0.22943173768280384,-0.580204941102315,-0.4011920915396754,-0.30462382183138853,2,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
38,-0.9346765703191824,-0.22167682841765057,0.14261823384490782,-0.26010210001863976,-0.4011920915396754,-0.30462382183138853,2,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,1.598487685566275,2.016142178998422,0.6779681741786,-0.26010210001863976,-0.4011920915396754,-0.30462382183138853,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40,1.5010582911091421,0.4088814127987585,0.9999015842441311,-0.26010210001863976,1.470256105583405,1.858694014489916,2,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
41,-0.9346765703191824,0.11840803681498326,-0.1286739656485173,-0.580204941102315,0.3810534511731466,0.7770350963292638,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
42,-1.1295353592334483,-0.40459552541916743,-0.02377431517772625,-0.26010210001863976,-0.4011920915396754,-0.30462382183138853,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
43,1.4036288966520092,0.13734371973439494,-0.7580718684732636,0.06000074106503546,-0.4011920915396754,-0.30462382183138853,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
44,1.3061995021948762,0.36002735086667637,-0.4072006237951004,0.7002064232323859,-0.4011920915396754,-0.30462382183138853,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
46,-0.6423883869477834,4.57018709116867,-0.8521198309643175,0.7002064232323859,-0.4011920915396754,-0.30462382183138853,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
47,1.3061995021948762,-0.47427883856260244,-0.19378409352693932,0.06000074106503546,-0.4011920915396754,-0.30462382183138853,1,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
48,-0.44752959803351744,-0.4871551029478024,-0.7291340338606316,-0.580204941102315,2.084170328978278,0.2362056372489376,2,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
49,-1.1295353592334483,-0.49775908538267294,0.9745809789580782,-0.580204941102315,-0.4011920915396754,-0.30462382183138853,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
51,0.3319055576235464,-0.1792608986781684,0.3488003054599109,-0.26010210001863976,-0.4011920915396754,-0.30462382183138853,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
52,-1.2269647536905812,1.6870400098590472,2.822985164839948,0.7002064232323859,1.5890782133372512,1.3178645554095898,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
53,1.695917080023408,1.085264006680144,-0.6712583646353675,1.3404121053997364,-0.262566299160188,2.9403529326505677,2,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
54,0.3319055576235464,-0.4863976756310259,0.60562358764702,-0.580204941102315,-0.4011920915396754,-0.30462382183138853,1,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
55,-0.8372471758620493,-0.29779827375368556,-0.3999661651419424,0.3801035821487107,-0.4011920915396754,-0.30462382183138853,2,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
56,0.7216231354520783,-0.40383809810239096,-0.6821100526151045,-0.580204941102315,-0.4011920915396754,-0.30462382183138853,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
57,0.3319055576235464,-0.32695922544957956,7.4819765374737015,0.7002064232323859,-0.4011920915396754,-0.30462382183138853,2,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
59,-0.7398177814049164,0.8379639877526274,-0.4289039997545744,0.06000074106503546,3.1337656141372543,0.2362056372489376,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
60,0.7216231354520783,0.07788567536744226,-0.04547769113720026,-0.26010210001863976,-0.4011920915396754,-0.30462382183138853,2,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
61,-0.8372471758620493,0.9640756359959092,-0.6567894473290515,0.06000074106503546,-0.4011920915396754,-0.30462382183138853,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
62,1.1113407132806103,-0.6727247955580369,-0.6784928232885256,2.300720628650762,-0.4011920915396754,-0.30462382183138853,0,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
63,0.7216231354520783,-0.3761920010400499,-0.06718106709667426,-0.580204941102315,-0.4011920915396754,-0.30462382183138853,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
64,0.4293349520806794,0.46682460253215824,0.7539299900367591,-0.580204941102315,-0.4011920915396754,-0.30462382183138853,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
65,1.7933464744805412,2.4380291944429144,0.4030587453585959,0.06000074106503546,-0.4011920915396754,-0.30462382183138853,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
66,1.1113407132806103,-0.4110336576117674,0.5441306890951769,-0.580204941102315,2.589164286932125,1.3178645554095898,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
67,1.1113407132806103,0.049103437329936495,0.630944192933073,-0.26010210001863976,1.4108450517064817,0.2362056372489376,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
68,0.3319055576235464,-0.30234283765434433,0.1100631699056968,2.6208234697344372,-0.4011920915396754,-0.30462382183138853,1,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
69,0.23447616316641343,-0.3458949083689912,-0.1467601122814123,-0.580204941102315,-0.4011920915396754,-0.30462382183138853,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
71,1.598487685566275,-0.30120669667917965,3.4560002969912733,0.06000074106503546,-0.4011920915396754,-0.30462382183138853,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
72,-2.0063999093476452,-0.6091009009488136,-0.6821100526151045,0.3801035821487107,-0.4011920915396754,-0.30462382183138853,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
73,-1.2269647536905812,-0.4871551029478024,-0.26612868005851936,-0.26010210001863976,-0.4011920915396754,-0.30462382183138853,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
74,-0.2526708091192515,-0.48677638928941414,0.29092463623464687,-0.26010210001863976,-0.4011920915396754,-0.30462382183138853,2,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
75,1.1113407132806103,-0.48298925270553184,0.573068523707809,-0.580204941102315,-0.4011920915396754,-0.30462382183138853,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
76,-0.7398177814049164,-0.15881036112520378,-0.052712149790358265,-0.580204941102315,-0.4011920915396754,-0.30462382183138853,2,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
78,0.3319055576235464,-0.2557610576725916,-0.9244644174958976,2.300720628650762,-0.4011920915396754,-0.30462382183138853,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
79,2.767640419051871,-0.30461511960467375,-0.5808276314708924,-0.580204941102315,-0.4011920915396754,-0.30462382183138853,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
80,-1.1295353592334483,-0.4318629088231203,-0.5699759434911554,-0.26010210001863976,-0.4011920915396754,-0.30462382183138853,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
81,0.9164819243663442,-0.3549840361703088,-0.8485026016377386,4.541440516236489,-0.4011920915396754,-0.30462382183138853,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
82,-0.7398177814049164,-0.3027215513127326,0.9781982082846571,3.5811319929854633,-0.4011920915396754,-0.30462382183138853,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
83,3.2547873913375356,-0.4871551029478024,-0.5374208795519444,-0.580204941102315,-0.4011920915396754,-0.30462382183138853,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
84,-0.7398177814049164,-0.3837662742078146,-0.2914492853445724,-0.580204941102315,2.7475937639372536,0.2362056372489376,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
85,-0.1552414146621185,-0.38300884689103815,-0.2625114507319403,-0.26010210001863976,-0.4011920915396754,-0.30462382183138853,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
86,-0.9346765703191824,0.4005497123142173,-0.1467601122814123,1.0203092643160612,-0.4011920915396754,-0.30462382183138853,2,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
87,-1.2269647536905812,-0.4288331995560144,-0.8702059775972126,1.980617787567087,-0.4011920915396754,-0.30462382183138853,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
88,-0.35010020357638444,-0.4367861863821673,1.1373562986541332,-0.26010210001863976,-0.4011920915396754,-0.30462382183138853,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
89,-1.6166823315191132,-0.18229060794527427,-0.33485603726352037,-0.26010210001863976,-0.4011920915396754,-0.30462382183138853,2,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
90,1.1113407132806103,0.16574724411351247,-0.6821100526151045,-0.580204941102315,-0.4011920915396754,-0.30462382183138853,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
91,-0.5449589924906504,-0.5208606185443552,-0.6748755939619465,-0.580204941102315,3.2525877218911003,0.2362056372489376,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
92,-1.1295353592334483,-0.5106353497678728,-0.4903968983064174,-0.580204941102315,-0.4011920915396754,-0.30462382183138853,2,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
93,0.13704676870928045,0.013504353441442532,-0.3023009733243094,-0.580204941102315,-0.4011920915396754,-0.30462382183138853,0,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
94,0.8190525299092113,-0.1970604406224154,-0.4035833944685214,0.3801035821487107,-0.4011920915396754,-0.30462382183138853,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
95,-0.35010020357638444,-0.4871551029478024,-0.8846748949035286,3.2610291519017878,-0.4011920915396754,-0.30462382183138853,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
96,0.9164819243663442,-0.0576938143355454,-0.7544546391466845,-0.26010210001863976,-0.4011920915396754,-0.30462382183138853,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
98,0.3319055576235464,-0.26901603571617977,-0.48316243965325945,0.06000074106503546,-0.4011920915396754,-0.30462382183138853,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
99,1.598487685566275,-0.577288953644202,-0.6604066766556305,-0.580204941102315,-0.4011920915396754,-0.30462382183138853,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100,1.2087701077377433,-0.3871746971333087,0.60562358764702,0.3801035821487107,-0.4011920915396754,-0.30462382183138853,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
101,-1.4218235426048473,-0.4242886356553556,-0.6459377593493145,-0.26010210001863976,-0.4011920915396754,-0.30462382183138853,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
102,0.6241937409949453,-0.26977346303295624,-0.4506073757140484,0.7002064232323859,-0.4011920915396754,-0.30462382183138853,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
103,0.4293349520806794,-0.09291418456565113,-0.08526721372956927,0.06000074106503546,-0.4011920915396754,-0.30462382183138853,1,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
104,-1.4218235426048473,-0.2500803527967681,0.5441306890951769,-0.26010210001863976,-0.4011920915396754,-0.30462382183138853,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
105,4.326510730365999,-0.011869461670569124,-0.10335336036246429,0.06000074106503546,-0.4011920915396754,-0.30462382183138853,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
106,-0.8372471758620493,0.016912776366936635,0.08835979394622279,-0.26010210001863976,-0.4011920915396754,-0.30462382183138853,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
107,1.0139113188234772,0.24641325335020625,-0.2769803680382564,0.3801035821487107,1.1137897823218659,5.644500228052198,2,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
108,-0.5449589924906504,-0.15540193819970968,0.20411113239675083,-0.580204941102315,-0.4011920915396754,-0.30462382183138853,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
109,-0.7398177814049164,-0.4223950673634144,-0.6893445112682625,-0.580204941102315,-0.4011920915396754,-0.30462382183138853,2,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
110,0.4293349520806794,-0.4882912439229671,-0.1756979468940443,-0.580204941102315,-0.4011920915396754,-0.30462382183138853,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
111,0.9164819243663442,-0.14593409674000385,-0.9172299588427396,1.0203092643160612,-0.4011920915396754,-0.30462382183138853,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
112,-0.35010020357638444,-0.40005096151850866,-0.5121002742658914,-0.26010210001863976,2.3020108598603297,0.2362056372489376,2,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
113,0.8190525299092113,-0.36331573665484995,-0.4469901463874694,-0.26010210001863976,-0.4011920915396754,-0.30462382183138853,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
114,-2.103829303804778,-0.2500803527967681,-0.5229519622456285,-0.580204941102315,-0.4011920915396754,-0.30462382183138853,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
