,age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,subscribed
5909,48,management,divorced,tertiary,no,1492,yes,no,,26,may,249,2,-1,0,,no
20337,32,housemaid,married,secondary,no,3832,no,no,cellular,11,aug,80,3,-1,0,,no
23712,52,blue-collar,married,primary,no,-490,yes,yes,cellular,28,aug,74,10,-1,0,,no
147,48,unemployed,married,secondary,no,293,yes,no,,5,may,243,1,-1,0,,no
27008,45,admin.,divorced,secondary,no,2519,no,no,cellular,21,nov,470,1,-1,0,,no
27441,59,unemployed,single,primary,no,7724,no,no,cellular,21,nov,373,3,-1,0,,yes
36265,52,blue-collar,single,secondary,no,201,yes,no,cellular,11,may,412,1,301,3,other,no
43262,52,unemployed,married,secondary,no,1416,no,no,cellular,10,mar,436,2,182,1,success,yes
17969,44,management,married,secondary,no,488,no,yes,cellular,30,jul,292,11,-1,0,,no
28143,43,technician,married,secondary,no,373,no,no,telephone,29,jan,221,1,-1,0,,no
44373,37,blue-collar,single,,no,871,yes,no,cellular,2,aug,209,1,542,4,failure,no
32144,57,services,married,primary,no,491,yes,no,cellular,15,apr,1217,3,-1,0,,yes
11832,20,student,single,secondary,no,-322,yes,no,,20,jun,73,4,-1,0,,no
15970,28,technician,single,secondary,no,0,no,yes,cellular,22,jul,188,2,-1,0,,no
41535,38,management,married,tertiary,no,1,no,no,cellular,10,sep,342,2,-1,0,,no
2505,52,technician,married,secondary,no,11,yes,no,,13,may,420,1,-1,0,,no
32075,33,admin.,single,tertiary,no,867,yes,no,cellular,14,apr,247,1,-1,0,,no
5645,49,technician,married,,no,-287,yes,no,,26,may,49,1,-1,0,,no
18804,44,admin.,divorced,secondary,no,611,no,no,cellular,31,jul,6,10,-1,0,,no
42150,69,technician,married,tertiary,no,482,no,no,cellular,4,nov,101,1,-1,0,,no
4168,29,services,single,secondary,no,146,yes,no,,19,may,104,2,-1,0,,no
17492,50,technician,married,secondary,no,349,yes,no,telephone,28,jul,27,17,-1,0,,no
23104,33,technician,single,secondary,no,487,yes,no,cellular,26,aug,532,14,-1,0,,no
41448,74,retired,married,primary,no,0,no,no,telephone,4,sep,113,1,-1,0,,no
32675,33,technician,divorced,secondary,no,273,yes,no,cellular,17,apr,181,1,317,1,failure,no
10468,39,blue-collar,married,primary,no,275,yes,no,,16,jun,189,2,-1,0,,no
21096,31,management,married,tertiary,no,2344,yes,no,cellular,14,aug,221,6,-1,0,,no
4383,28,student,single,secondary,no,154,yes,no,,20,may,21,9,-1,0,,no
16680,37,technician,single,secondary,no,133,yes,no,cellular,24,jul,576,2,-1,0,,no
34684,24,admin.,single,tertiary,no,805,yes,no,cellular,5,may,169,2,-1,0,,no
28245,52,unemployed,married,primary,no,1724,no,no,cellular,29,jan,73,1,-1,0,,no
38321,35,technician,single,secondary,no,-89,yes,no,cellular,15,may,75,1,368,1,failure,no
16890,29,services,married,tertiary,no,-62,yes,yes,cellular,25,jul,126,1,-1,0,,no
13061,42,blue-collar,single,primary,no,1322,yes,yes,cellular,8,jul,178,1,-1,0,,no
12963,49,self-employed,single,secondary,no,766,yes,no,cellular,7,jul,150,4,-1,0,,no
6566,37,admin.,single,secondary,no,0,no,no,,28,may,17,13,-1,0,,no
11092,50,services,married,secondary,no,1134,no,no,,18,jun,53,2,-1,0,,no
35655,53,technician,divorced,,no,629,yes,no,cellular,8,may,298,1,-1,0,,no
1608,44,management,married,secondary,no,576,yes,no,,8,may,128,3,-1,0,,no
12379,57,blue-collar,married,primary,no,-238,no,no,,27,jun,79,1,-1,0,,no
31174,53,technician,married,secondary,no,264,no,no,telephone,27,feb,429,4,-1,0,,no
14835,26,self-employed,single,secondary,no,166,yes,no,cellular,16,jul,83,2,-1,0,,no
26276,47,self-employed,married,primary,no,574,yes,no,cellular,20,nov,137,5,-1,0,,no
7450,45,housemaid,married,secondary,no,1041,yes,no,,29,may,238,3,-1,0,,no
38406,26,technician,single,secondary,no,626,yes,no,cellular,15,may,412,2,-1,0,,no
42690,85,retired,married,primary,no,1255,no,no,cellular,15,jan,233,3,-1,0,,yes
288,32,blue-collar,married,secondary,no,1331,yes,no,,5,may,286,2,-1,0,,no
25350,51,management,divorced,tertiary,no,1937,yes,no,cellular,18,nov,185,4,152,11,other,no
33348,35,blue-collar,married,secondary,no,876,yes,no,cellular,20,apr,318,1,-1,0,,no
15134,33,management,single,tertiary,no,171,yes,no,cellular,17,jul,71,1,-1,0,,no
2357,45,services,married,secondary,no,-3,yes,no,,13,may,213,1,-1,0,,no
12138,50,services,married,secondary,no,901,yes,no,,20,jun,8,6,-1,0,,no
29275,37,management,single,tertiary,no,230,yes,yes,cellular,2,feb,120,2,272,1,failure,no
3954,49,blue-collar,married,primary,no,327,yes,no,,16,may,138,2,-1,0,,no
32169,19,student,single,secondary,no,626,no,no,telephone,15,apr,117,1,-1,0,,no
21481,45,,married,secondary,no,2119,no,no,cellular,19,aug,120,15,-1,0,,no
27672,46,admin.,married,secondary,no,9319,yes,no,cellular,21,nov,31,7,-1,0,,no
12381,39,technician,married,secondary,no,0,no,yes,,27,jun,103,1,-1,0,,no
35837,49,blue-collar,married,secondary,no,863,yes,yes,telephone,8,may,101,1,-1,0,,no
20103,49,blue-collar,married,primary,no,-232,no,yes,cellular,11,aug,106,2,-1,0,,no
17191,25,management,single,tertiary,no,155,yes,no,telephone,28,jul,193,3,-1,0,,no
15883,32,technician,married,tertiary,no,-1053,yes,no,cellular,21,jul,357,3,-1,0,,no
36967,46,entrepreneur,married,secondary,no,404,yes,no,telephone,12,may,1388,7,347,2,failure,no
32078,32,management,single,tertiary,no,574,yes,no,cellular,14,apr,259,2,145,3,failure,no
7205,32,management,single,tertiary,no,537,no,no,,29,may,187,3,-1,0,,no
25914,41,management,married,tertiary,no,-608,yes,no,cellular,19,nov,12,6,-1,0,,no
34562,39,management,married,tertiary,no,0,yes,no,cellular,5,may,811,2,-1,0,,yes
36092,54,entrepreneur,married,secondary,yes,401,yes,no,cellular,11,may,341,1,-1,0,,no
17908,45,admin.,divorced,secondary,no,1201,no,no,cellular,30,jul,652,2,-1,0,,no
9411,35,self-employed,single,primary,no,45,no,yes,,6,jun,81,1,-1,0,,no
41807,62,services,married,primary,no,276,no,no,cellular,14,oct,80,2,-1,0,,no
21674,45,management,single,secondary,no,451,yes,no,cellular,19,aug,142,2,-1,0,,no
19299,35,management,married,tertiary,no,284,no,yes,cellular,6,aug,258,2,-1,0,,no
36390,55,management,married,tertiary,no,42,yes,no,telephone,11,may,386,2,-1,0,,no
542,50,technician,married,primary,no,249,yes,no,,6,may,129,1,-1,0,,no
40921,64,retired,married,secondary,no,1370,no,no,cellular,12,aug,174,1,-1,0,,no
44938,47,housemaid,single,tertiary,no,3232,no,no,telephone,6,oct,541,1,204,3,failure,no
1273,41,admin.,married,secondary,no,55,yes,no,,8,may,1120,2,-1,0,,yes
38675,55,technician,divorced,tertiary,no,525,yes,no,cellular,15,may,28,8,366,4,other,no
29224,42,management,married,secondary,no,0,yes,yes,cellular,2,feb,854,1,-1,0,,no
13208,33,services,married,secondary,no,0,no,yes,cellular,8,jul,285,1,-1,0,,no
11140,42,blue-collar,single,secondary,no,1279,yes,no,,18,jun,347,4,-1,0,,no
43732,74,retired,divorced,tertiary,no,3810,yes,no,cellular,17,may,492,1,-1,0,,no
31232,30,admin.,single,secondary,no,523,no,yes,cellular,3,mar,83,1,-1,0,,yes
28518,31,blue-collar,single,tertiary,no,403,no,no,cellular,29,jan,356,2,-1,0,,no
24234,38,management,married,tertiary,no,494,no,no,cellular,17,nov,146,1,104,2,other,no
35225,50,entrepreneur,married,secondary,no,806,yes,yes,cellular,7,may,141,8,297,2,other,no
16598,41,entrepreneur,single,secondary,no,663,no,no,cellular,24,jul,1204,1,-1,0,,yes
19802,33,technician,married,secondary,no,-163,yes,yes,cellular,8,aug,502,2,-1,0,,no
22633,33,,married,tertiary,no,8971,no,no,cellular,22,aug,138,1,-1,0,,no
19322,31,self-employed,married,secondary,no,33,no,no,cellular,6,aug,165,4,-1,0,,no
26164,32,unemployed,single,primary,no,911,no,yes,cellular,20,nov,42,7,-1,0,,no
25915,34,admin.,married,secondary,no,131,no,no,cellular,19,nov,94,1,-1,0,,no
29803,37,admin.,divorced,secondary,no,496,no,no,cellular,4,feb,118,4,272,3,failure,no
30353,34,admin.,married,secondary,no,155,no,no,cellular,5,feb,696,2,-1,0,,yes
22875,47,blue-collar,married,,yes,162,no,no,cellular,25,aug,366,3,-1,0,,yes
25987,32,management,single,tertiary,no,2515,no,yes,cellular,19,nov,223,2,-1,0,,no
37552,45,blue-collar,married,primary,no,528,yes,no,cellular,14,may,16,7,-1,0,,no
16993,46,management,married,,no,802,yes,no,telephone,25,jul,417,1,-1,0,,no
39158,27,technician,married,secondary,no,267,yes,no,cellular,18,may,166,4,-1,0,,no
21539,44,technician,single,secondary,no,54,no,yes,cellular,19,aug,199,2,-1,0,,no
3432,58,management,divorced,tertiary,no,347,no,no,,15,may,525,1,-1,0,,no
16056,59,housemaid,married,primary,no,5,no,yes,telephone,22,jul,204,2,-1,0,,no
18400,42,blue-collar,married,primary,no,260,yes,no,telephone,31,jul,175,2,-1,0,,no
20235,60,retired,married,secondary,no,-240,no,no,cellular,11,aug,152,6,-1,0,,no
6140,28,blue-collar,married,primary,no,46,yes,no,,27,may,205,3,-1,0,,no
35641,31,management,married,tertiary,no,-181,yes,no,cellular,8,may,127,1,170,2,failure,no
29777,43,admin.,married,secondary,no,0,yes,no,cellular,4,feb,175,1,-1,0,,no
8860,33,management,married,tertiary,no,1808,yes,no,,4,jun,99,4,-1,0,,no
32741,29,services,married,secondary,no,191,yes,no,cellular,17,apr,87,1,-1,0,,no
315,46,admin.,married,secondary,no,-358,yes,no,,5,may,358,2,-1,0,,no
1581,34,blue-collar,married,primary,no,298,yes,no,,8,may,220,2,-1,0,,no
15508,37,management,married,tertiary,no,2364,no,no,telephone,18,jul,662,4,-1,0,,no
28753,31,services,single,secondary,no,887,no,no,cellular,30,jan,427,1,-1,0,,no
33256,34,technician,married,secondary,no,-228,yes,no,cellular,20,apr,187,3,332,3,other,no
3028,29,entrepreneur,single,tertiary,no,303,yes,no,,14,may,180,4,-1,0,,no
32637,37,services,married,secondary,no,1776,yes,yes,cellular,17,apr,224,1,-1,0,,no
26557,34,self-employed,married,tertiary,no,1545,yes,no,cellular,20,nov,895,1,183,2,failure,no
10925,42,self-employed,married,tertiary,no,753,no,no,,17,jun,31,1,-1,0,,no
34096,27,blue-collar,single,primary,no,3342,yes,no,cellular,30,apr,761,2,330,4,failure,no
37361,39,technician,married,secondary,no,4741,yes,no,cellular,13,may,166,1,338,10,failure,no
37844,23,housemaid,single,secondary,no,650,yes,no,cellular,14,may,136,1,367,4,failure,no
1496,50,management,divorced,tertiary,no,704,yes,no,,8,may,233,2,-1,0,,no
28451,31,services,single,secondary,no,211,no,no,cellular,29,jan,226,2,-1,0,,no
19948,59,housemaid,married,primary,no,116,no,no,cellular,8,aug,129,4,-1,0,,no
41462,33,management,married,tertiary,no,1390,no,no,cellular,7,sep,92,1,84,4,failure,no
30394,58,retired,single,secondary,no,-158,yes,no,cellular,5,feb,55,1,8,1,other,no
38116,42,services,married,secondary,no,146,yes,yes,cellular,15,may,670,4,346,1,failure,yes
14897,45,management,married,tertiary,no,2,yes,no,cellular,16,jul,192,2,-1,0,,no
24080,56,technician,married,secondary,no,589,yes,no,,23,oct,518,1,147,2,success,yes
42813,42,management,single,tertiary,no,706,no,no,cellular,29,jan,132,2,-1,0,,no
11795,52,management,married,tertiary,no,0,no,no,,20,jun,166,1,-1,0,,no
6130,49,technician,married,secondary,no,-849,yes,yes,,27,may,197,1,-1,0,,no
12737,42,blue-collar,divorced,,no,0,no,no,cellular,7,jul,64,2,-1,0,,no
32449,39,admin.,divorced,secondary,no,284,yes,yes,cellular,16,apr,772,1,-1,0,,no
26360,36,management,married,tertiary,no,11675,yes,no,cellular,20,nov,48,1,-1,0,,no
3488,48,blue-collar,married,primary,no,680,yes,no,,15,may,387,4,-1,0,,no
25874,39,management,married,tertiary,no,622,no,no,cellular,19,nov,145,1,-1,0,,no
7799,53,management,married,tertiary,no,1144,yes,no,,30,may,142,2,-1,0,,no
12671,48,services,married,secondary,no,1355,no,no,cellular,4,jul,134,2,-1,0,,no
2313,46,unemployed,divorced,secondary,no,41,yes,no,,12,may,249,4,-1,0,,no
13426,44,technician,married,secondary,no,266,yes,no,cellular,9,jul,72,1,-1,0,,no
43430,46,entrepreneur,married,tertiary,no,9,no,no,cellular,8,apr,126,6,-1,0,,no
23130,38,technician,married,secondary,no,257,no,no,cellular,26,aug,57,10,-1,0,,no
38998,54,services,married,secondary,no,882,yes,no,cellular,18,may,217,1,-1,0,,no
10651,58,blue-collar,married,primary,no,96,no,no,,16,jun,76,3,-1,0,,no
28164,30,student,single,secondary,no,336,no,no,cellular,29,jan,67,1,-1,0,,no
22443,54,housemaid,married,primary,no,179,no,no,cellular,22,aug,132,2,-1,0,,no
3509,41,retired,divorced,primary,no,-233,yes,no,,15,may,1156,2,-1,0,,yes
15798,51,admin.,married,secondary,no,73,no,no,cellular,21,jul,195,1,-1,0,,no
10481,54,housemaid,married,secondary,no,1977,no,no,,16,jun,69,3,-1,0,,no
1216,30,admin.,single,secondary,no,387,yes,no,,8,may,75,1,-1,0,,no
15484,47,technician,divorced,secondary,no,-767,no,yes,cellular,18,jul,329,3,-1,0,,no
29841,31,technician,married,secondary,no,119,yes,no,cellular,4,feb,380,1,-1,0,,no
17070,38,admin.,married,secondary,no,689,yes,no,cellular,25,jul,270,1,-1,0,,no
37368,26,admin.,single,secondary,no,0,yes,no,cellular,13,may,204,3,-1,0,,no
23332,53,self-employed,married,tertiary,no,837,no,no,cellular,27,aug,160,4,-1,0,,no
34169,24,student,single,secondary,no,382,no,no,cellular,30,apr,567,2,-1,0,,yes
17271,60,retired,married,secondary,no,3570,no,no,telephone,28,jul,112,2,-1,0,,no
15455,26,technician,single,secondary,yes,-454,no,yes,cellular,18,jul,652,2,-1,0,,no
2095,31,technician,married,secondary,no,286,no,no,,12,may,177,4,-1,0,,no
28038,29,management,married,tertiary,no,54,no,no,cellular,28,jan,873,3,-1,0,,no
29764,38,self-employed,married,secondary,no,581,yes,no,cellular,4,feb,281,5,-1,0,,no
37090,55,self-employed,married,tertiary,no,1810,yes,no,cellular,13,may,296,1,-1,0,,no
1085,35,admin.,married,primary,no,136,yes,no,,7,may,283,1,-1,0,,no
24806,54,management,married,secondary,no,2203,yes,no,telephone,18,nov,151,1,-1,0,,no
9471,52,self-employed,married,tertiary,no,1088,yes,no,,6,jun,217,2,-1,0,,no
17044,28,services,married,secondary,no,633,no,yes,cellular,25,jul,95,1,-1,0,,no
8209,40,admin.,divorced,secondary,no,2550,yes,no,,2,jun,424,2,-1,0,,no
11535,54,retired,married,secondary,no,3846,yes,yes,,19,jun,216,2,-1,0,,no
26756,33,blue-collar,married,secondary,no,2994,yes,no,cellular,20,nov,155,1,-1,0,,no
42251,75,retired,married,secondary,no,324,no,no,telephone,12,nov,124,2,91,4,other,no
38683,43,blue-collar,married,primary,no,-67,yes,no,telephone,15,may,137,7,371,1,failure,no
44579,53,admin.,married,secondary,no,1252,no,no,cellular,17,aug,128,4,-1,0,,no
21707,31,technician,married,secondary,no,1072,no,no,cellular,19,aug,141,3,-1,0,,no
10626,37,housemaid,married,secondary,no,285,no,no,,16,jun,401,2,-1,0,,no
19046,46,management,divorced,tertiary,no,3,yes,yes,cellular,5,aug,328,1,-1,0,,no
2135,45,admin.,married,secondary,no,171,yes,no,,12,may,539,1,-1,0,,no
29327,48,blue-collar,single,primary,no,623,yes,no,cellular,2,feb,1425,2,-1,0,,yes
1129,29,services,married,primary,no,321,yes,no,,7,may,196,2,-1,0,,no
24295,35,technician,divorced,tertiary,no,1718,yes,yes,cellular,17,nov,74,1,167,16,other,no
8755,29,services,single,secondary,no,-271,yes,no,,4,jun,578,1,-1,0,,yes
16978,29,blue-collar,married,secondary,no,9,yes,no,cellular,25,jul,236,8,-1,0,,no
8703,28,blue-collar,married,secondary,no,1958,yes,no,,3,jun,196,1,-1,0,,no
20392,31,technician,single,secondary,no,433,no,no,cellular,11,aug,1504,2,-1,0,,no
16027,28,blue-collar,single,secondary,no,1285,no,no,telephone,22,jul,29,16,-1,0,,no
41377,39,management,married,tertiary,no,119,yes,no,cellular,1,sep,265,2,476,4,success,yes
19925,55,blue-collar,married,primary,no,9997,no,no,cellular,8,aug,118,2,-1,0,,no
30429,38,entrepreneur,married,tertiary,no,228,yes,no,cellular,5,feb,105,1,-1,0,,no
9784,38,technician,married,secondary,no,994,no,no,,9,jun,119,1,-1,0,,no
6782,29,blue-collar,single,primary,no,231,yes,no,,28,may,122,1,-1,0,,no
35691,31,technician,single,secondary,no,691,yes,no,cellular,8,may,198,1,-1,0,,no
3247,54,blue-collar,married,secondary,no,524,yes,no,,15,may,55,1,-1,0,,no
936,49,blue-collar,married,secondary,no,90,yes,no,,7,may,127,1,-1,0,,no
7188,44,blue-collar,married,secondary,no,2523,yes,no,,29,may,1236,2,-1,0,,no
32630,51,management,married,tertiary,no,615,yes,no,cellular,17,apr,97,1,-1,0,,no
44163,26,blue-collar,single,secondary,no,2007,no,no,cellular,13,jul,272,3,182,2,success,yes
33778,29,self-employed,married,tertiary,no,246,no,no,cellular,23,apr,90,14,-1,0,,no
44348,49,retired,married,primary,no,18,no,no,,30,jul,9,1,-1,0,,no
37247,34,management,single,tertiary,no,76,yes,no,cellular,13,may,747,2,371,3,failure,yes
10195,39,retired,married,secondary,no,-160,yes,no,,11,jun,203,4,-1,0,,no
9942,49,housemaid,married,secondary,no,81,no,yes,,9,jun,493,2,-1,0,,no
42100,29,technician,single,secondary,no,3851,no,no,cellular,2,nov,59,2,-1,0,,no
3456,38,admin.,married,secondary,no,0,yes,no,,15,may,225,1,-1,0,,no
34548,41,management,married,secondary,no,6,no,no,cellular,5,may,123,1,-1,0,,no
16247,46,management,divorced,tertiary,no,2166,yes,no,cellular,23,jul,870,1,-1,0,,yes
25824,44,management,divorced,secondary,no,0,yes,no,telephone,19,nov,319,1,-1,0,,no
19435,41,technician,married,secondary,no,-832,no,no,cellular,6,aug,226,5,-1,0,,no
7576,45,admin.,married,secondary,no,840,yes,no,,30,may,54,3,-1,0,,no
10514,59,blue-collar,married,secondary,yes,-918,yes,no,,16,jun,253,2,-1,0,,no
8557,35,services,single,secondary,no,-437,yes,no,,3,jun,43,5,-1,0,,no
40356,35,management,married,tertiary,no,2088,yes,no,cellular,22,jun,457,3,-1,0,,no
21624,56,technician,married,secondary,no,64,no,no,cellular,19,aug,35,4,-1,0,,no
8371,52,blue-collar,divorced,primary,no,196,yes,yes,,3,jun,63,1,-1,0,,no
28493,26,technician,single,secondary,no,252,no,no,cellular,29,jan,706,2,-1,0,,no
17618,53,unemployed,married,secondary,no,329,yes,no,cellular,29,jul,69,2,-1,0,,no
539,34,blue-collar,married,primary,no,-144,yes,no,,6,may,79,2,-1,0,,no
38611,48,blue-collar,married,primary,no,108,yes,no,telephone,15,may,74,5,367,7,other,no
32219,49,blue-collar,divorced,secondary,no,-464,yes,no,cellular,16,apr,82,1,-1,0,,no
17622,43,,married,primary,no,2113,no,no,cellular,29,jul,33,2,-1,0,,no
18235,55,retired,married,secondary,no,4194,no,yes,telephone,30,jul,208,3,-1,0,,no
43336,31,management,single,tertiary,no,3384,no,no,cellular,22,mar,247,3,187,3,success,yes
33212,28,management,single,tertiary,no,145,yes,no,cellular,20,apr,277,1,-1,0,,no
14883,35,blue-collar,married,secondary,no,975,yes,no,cellular,16,jul,102,1,-1,0,,no
30358,54,retired,married,secondary,no,883,no,no,telephone,5,feb,305,4,-1,0,,no
24532,44,management,married,tertiary,no,226,yes,no,cellular,17,nov,76,3,-1,0,,no
39027,30,services,married,secondary,no,1256,yes,no,cellular,18,may,123,3,-1,0,,no
26749,32,technician,married,tertiary,no,1352,no,no,cellular,20,nov,221,3,-1,0,,no
19202,42,technician,married,secondary,yes,-197,yes,no,cellular,6,aug,66,7,-1,0,,no
2341,26,entrepreneur,single,secondary,no,101,yes,no,,13,may,723,1,-1,0,,no
44614,52,self-employed,married,tertiary,no,4012,no,no,cellular,31,aug,634,3,92,5,other,yes
16658,52,blue-collar,married,primary,no,117,no,yes,cellular,24,jul,164,2,-1,0,,no
19598,40,technician,married,secondary,no,998,no,no,cellular,7,aug,133,7,-1,0,,no
23675,43,management,married,tertiary,no,370,no,no,cellular,28,aug,142,5,-1,0,,no
35679,27,management,single,tertiary,no,1137,yes,no,cellular,8,may,26,1,-1,0,,no
19764,37,technician,single,secondary,no,980,no,no,cellular,8,aug,1306,5,-1,0,,yes
22885,31,management,married,tertiary,no,166,no,no,cellular,25,aug,392,6,-1,0,,no
2741,48,blue-collar,married,primary,no,9004,no,no,,14,may,158,3,-1,0,,no
22553,34,management,married,secondary,no,42,no,no,cellular,22,aug,82,3,-1,0,,no
43180,31,admin.,single,tertiary,no,4129,no,no,cellular,2,mar,105,1,182,1,failure,no
36410,39,management,married,tertiary,no,1362,yes,no,cellular,11,may,447,2,-1,0,,no
17293,56,management,divorced,tertiary,no,-141,no,no,cellular,28,jul,101,4,-1,0,,no
2059,39,unemployed,divorced,secondary,no,507,yes,no,,12,may,150,7,-1,0,,no
22363,34,technician,married,tertiary,no,149,no,no,cellular,22,aug,739,2,-1,0,,yes
2864,54,management,married,tertiary,no,11,no,no,,14,may,452,2,-1,0,,no
21820,30,technician,married,secondary,no,26,no,no,cellular,20,aug,55,2,-1,0,,no
26272,38,admin.,married,secondary,no,76,no,no,cellular,20,nov,129,1,-1,0,,no
16903,26,self-employed,married,secondary,yes,254,yes,yes,cellular,25,jul,335,1,-1,0,,no
26550,32,blue-collar,married,primary,no,726,yes,no,cellular,20,nov,188,2,-1,0,,no
26948,30,admin.,married,secondary,no,5220,yes,no,cellular,21,nov,108,1,-1,0,,no
43500,73,retired,married,secondary,no,2850,no,no,cellular,19,apr,184,2,185,3,failure,no
21153,32,technician,married,tertiary,no,1559,yes,yes,cellular,14,aug,144,7,-1,0,,no
23972,52,technician,married,secondary,no,0,no,no,cellular,29,aug,67,2,-1,0,,no
36453,40,housemaid,married,secondary,no,4136,yes,no,cellular,11,may,508,3,173,5,failure,no
